#combination,result
3d glasses+printer,3d printer
insect+sap,amber
insect+shell,snail
insect+small,ant
insect+sound,cicada
insect+stick,stick bug
insect+syringe,mosquito
insect+wax,bee
insect+wind,fly
insect+wood,termite
internet+book,ebook
internet+cat,meme
internet+dog,meme
internet+evil,dark web
internet+family,website
internet+frog,meme
internet+human,meme
internet+idea,meme
internet+internet,cyberspace
internet+legend,meme
internet+magic,meme
internet+paper,website
internet+safe,deep web
internet+space,cyberspace
internet+story,meme
iodine+plant,algae
ireland+england,united kingdom
ireland+human,leprechaun
ireland+magic,leprechaun
ireland+plant,four leaf clover
ireland+rainbow,cauldron
iron+blue,cobalt
iron+bronze,copper
iron+carbon,steel
iron+fire,steel
iron+furnace,steel
iron+gold,pyrite
iron+heat,steel
iron+philosopher's stone,gold
iron+proton,cobalt
iron+smoke,steel
iron+white,silver
iron+yellow,pyrite
island+africa,madagascar
island+earthquake,volcano
island+fertilizer,palm tree
island+idea,evolution
island+island,archipelago
island+kiwi,new zealand
island+mountain,continent
island+ocean,planet
island+opposite,continent
island+plant,palm tree
island+seed,palm tree
ivory+music,piano
ivory+sound,piano
ivory+toy,domino
ivory+wood,piano
ivy+poison,poison ivy
jack-o-lantern+cowboy,the headless horseman
jack-o-lantern+human,the headless horseman
jackal+wolf,aardwolf
jackalope+blade,antler
jacket+rain,raincoat
jaguar+air,cheetah
jaguar+bear,saber-toothed tiger
jaguar+cat,ocelot
jaguar+dinosaur,saber-toothed tiger
jaguar+energy,cheetah
jaguar+human,cat
jaguar+nice,ocelot
jaguar+small,ocelot
jaguar+tooth,saber-toothed tiger
jaguar+wind,cheetah
jam+fish,jellyfish
japan+book,manga
japan+story,manga
japan+sword,katana
japan+television,anime
javelin+bow,harpoon
javelin+gun,harpoon
jet+house,airport
jet+human,pilot
jet+road,runway
journal+house,library
journal+human,journalist
journal+time,scrapbook
journal+wood,bookshelf
judge+hammer,gavel
judge+house,courthouse
juice+air,sugar
juice+apple,applesauce
juice+heat,sugar
juice+machine,jam
juice+pressure,jam
juice+sugar,jam
juice+time,alcohol
jukebox+car,radio
jukebox+metal,radio
jukebox+small,mp3 player
jungle+animal,parrot
jungle+bird,parrot
jungle+cat,jaguar
jungle+grass,bamboo
jungle+moss,fern
jungle+plant,bamboo
jungle+stick,bamboo
jungle+vegetable,cocoa
jupiter+star,solar system
kangaroo+america,opossum
kangaroo+city,opossum
kangaroo+country,australia
kangaroo+forest,koala
kangaroo+small,wallaby
kangaroo+squirrel,koala
kangaroo+tree,koala
katana+animal,blood
katana+big,greatsword
katana+bird,blood
katana+cat,blood
katana+dog,blood
katana+human,ninja
keg+house,bar
keg+human,alcoholic
kelp+small,algae
kerogen+pressure,asphalt
ketchup+opposite,mustard
ketchup+water,tomato sauce
ketchup+white,mayonnaise
ketchup+yellow,mustard
key+gold,lock
key+lightning,electricity
key+metal,lock
key+steel,lock
key+thunder,electricity
key+tool,lock
keyboard+glass,computer
keyboard+metal,computer
keyboard+music,piano
keyboard+musician,piano
keyboard+sheet music,piano
keyboard+sound,piano
keyboard+wood,piano
king+chair,throne
king+city,kingdom
king+country,kingdom
king+egypt,pharaoh
king+evolution,president
king+fish,kingfish
king+gold,crown
king+house,castle
king+human,slave
king+king,kingdom
king+opposite,queen
king+town,kingdom
king+wind,crown
kingdom+country,united kingdom
kingdom+house,castle
kingdom+kingdom,continent
kite+key,electricity
kiwifruit+animal,kiwi
kiwifruit+bird,kiwi
knife+animal,meat
knife+big,sword
knife+bird,blood
knife+cat,blood
knife+dog,blood
knife+grape,cherry
knife+human,blood
knife+potato,french fry
knife+star,shuriken
knife+tree,rubber
knife+weapon,sword
knight+animal,horse
knight+cart,chariot
knowledge+blood,brain
knowledge+book,dictionary
knowledge+bus,school bus
knowledge+flesh,brain
knowledge+house,school
knowledge+machine,computer
knowledge+metal,computer
knowledge+organ,brain
knowledge+stick,ruler
knowledge+time,scientist
knowledge+virus,medicine
koala+america,opossum
koala+big,bear
koala+city,opossum
koala+country,australia
koala+evil,bear
koala+jerboa,kangaroo
koala+mouse,opossum
koala+rat,opossum
lab+animal,rat
lab+mouse,rat
ladder+ladder,stool
lake+animal,fish
lake+bird,duck
lake+chicken,duck
lake+dinosaur,brachiosaurus
lake+earth,pond
lake+egg,fish
lake+flower,lilypad
lake+hill,river
lake+lake,sea
lake+lava,obsidian
lake+legend,nessie
lake+lizard,alligator
lake+magic,nessie
lake+miner,sinkhole
lake+mountain,river
lake+owl,duck
lake+pigeon,duck
lake+pond,sea
lake+puddle,sea
lake+shovel,sinkhole
lake+story,nessie
lamp+butterfly,moth
lamp+electricity,light
lamp+energy,light
lamp+fly,moth
lamp+insect,moth
lamp+small,lightbulb
laptop+computer,internet
laptop+laptop,internet
laptop+small,cellphone
laptop+toy,video game
laptop+video game,gaming console
laser+gun,raygun
laser+weapon,laser pointer
latex+air,balloon
latex+hand,glove
latex+oil,rubber
latex+rope,balloon
latex+string,balloon
latex+thread,balloon
lava+air,stone
lava+bird,ash
lava+cold,stone
lava+dust,ash
lava+energy,fire
lava+geyser,volcano
lava+golem,lava golem
lava+human,ash
lava+lamp,lava lamp
lava+life,lava golem
lava+light,lava lamp
lava+lightbulb,lava lamp
lava+mud,brick
lava+opposite,ice
lava+pressure,granite
lava+salt,lithium
lava+steel,bucket
lava+stone,obsidian
lava+time,stone
leaf+box,compost bin
leaf+carrot,parsley
leaf+door,wreath
leaf+earth,compost
leaf+energy,mint
leaf+fence,hedge
leaf+forest,compost
leaf+jungle,compost
leaf+lava,ash
leaf+leaf,bush
leaf+nut,acorn
leaf+rainforest,compost
leaf+sickness,herb
leaf+soil,compost
leaf+wood,stick
leather+eye,eyepatch
leather+human,clothing
leather+metal,armor
leather+money,wallet
leather+steel,armor
leek+small,asparagus
leg+animal,kangaroo
leg+hand,foot
leg+machine,treadmill
leg+metal,prosthetic limb
leg+opposite,arm
legend+clay,golem
lemon+blender,lemonade
lemon+earth,tree
lemon+juice,lemonade
lemon+leaf,pineapple
lemon+pressure,lemonade
lemon+soil,tree
lemon+vinegar,mustard
lemon+water,lemonade
lemon+wine,mustard
lemonade+vinegar,mustard
lemur+lizard,cat
leopard+deer,antelope
leopard+moose,antelope
leopard+snow,snow leopard
letter+box,package
letter+computer,email
letter+house,post office
letter+human,mailman
letter+internet,email
letter+paper,envelope
letter+wood,sign
lettuce+asparagus,celery
lettuce+big,cabbage
lettuce+carrot,parsley
lettuce+celery,broccoli
lettuce+crouton,salad
lettuce+lettuce,salad
lettuce+river,watercress
lettuce+stick,celery
lettuce+tree,broccoli
lettuce+vegetable,salad
library+wood,bookshelf
life+air,bird
life+bacteria,animal
life+bird,stork
life+book,dna
life+box,egg
life+continent,animal
life+cookie,gingerbread man
life+corpse,zombie
life+country,animal
life+death,zombie
life+desert,animal
life+dough,gingerbread man
life+dust,mite
life+evil,death
life+forest,animal
life+idea,evolution
life+knowledge,evolution
life+library,dna
life+life,dna
life+machine,robot
life+molecule,dna
life+mountain range,animal
life+mountain,animal
life+ocean,fish
life+opposite,death
life+scientist,evolution
life+sea,fish
life+soil,plant
life+space,alien
life+statue,golem
life+swamp,bacteria
life+time,evolution
light+atom,photon
light+bird,dove
light+black,blacklight
light+butterfly,moth
light+camera,hologram
light+darkness,blacklight
light+electricity,lightbulb
light+electron,photon
light+fly,firefly
light+heat,infrared
light+house,lighthouse
light+insect,firefly
light+life,angel
light+machine,lightbulb
light+opposite,darkness
light+planet,star
light+rain,rainbow
light+rainbow,christmas lights
light+small,photon
light+soap,ultraviolet
light+space,star
light+stick,glow stick
light+teleporter,hologram
light+tower,lighthouse
light+water,rainbow
light+wave,television
light+weapon,laser pointer
lightbulb+big,lamp
lightbulb+black,blacklight
lightbulb+blue,christmas lights
lightbulb+butterfly,moth
lightbulb+color,christmas lights
lightbulb+darkness,blacklight
lightbulb+electricity,light
lightbulb+energy,light
lightbulb+green,christmas lights
lightbulb+insect,moth
lightbulb+lightbulb,spotlight
lightbulb+metal,lamp
lightbulb+orange,christmas lights
lightbulb+purple,christmas lights
lightbulb+rainbow,christmas lights
lightbulb+red,christmas lights
lightbulb+scientist,idea
lightbulb+tree,christmas tree
lightbulb+wave,television
lightbulb+yellow,christmas lights
lightning+air,plasma
lightning+bird,thunderbird
lightning+energy,thunder
lightning+fire,plasma
lightning+house,storm cellar
lightning+metal,electricity
lightning+pressure,thunder
lightning+rain,thunderstorm
lightning+salt,chlorine
lightning+sand,fulgurite
lightning+smoke,plasma
lightning+sound,thunder
lime+lemon,pear
lime+sugar,lemon
lime+yellow,lemon
limestone+cement,plaster
limestone+oil,crayon
limestone+pressure,marble
limestone+sand,plaster
lingonberry+plant,bush
lion+air,cheetah
lion+bear,saber-toothed tiger
lion+bee,tiger
lion+dinosaur,saber-toothed tiger
lion+eagle,griffon
lion+energy,cheetah
lion+fish,lionfish
lion+forest,leopard
lion+immortality,sphinx
lion+nice,cat
lion+small,tiger
lion+statue,sphinx
lion+tiger,liger
lion+tooth,saber-toothed tiger
lion+wind,cheetah
lion+zebra,tiger
lipstick+house,beauty salon
liquor+house,bar
liquor+human,alcoholic
lithium+electricity,battery
lithium+energy,battery
lithium+metal,battery
lithium+proton,beryllium
liver+ham,liverwurst
liver+meat,liverwurst
liver+pork,liverwurst
livestream+human,livestreamer
lizard+baby,egg
lizard+big,iguana
lizard+blade,blood
lizard+car,gecko
lizard+cargo plane,dragon
lizard+desert,komodo dragon
lizard+double rainbow,chameleon
lizard+earth,animal
lizard+evil,alligator
lizard+evolution,animal
lizard+fireball,dragon
lizard+frog,iguana
lizard+idea,dragon
lizard+lizard,egg
lizard+magic,dragon
lizard+mexico,axolotl
lizard+mirror,chameleon
lizard+pink,axolotl
lizard+plane,dragon
lizard+rainbow,chameleon
lizard+river,alligator
lizard+small,gecko
lizard+swamp,alligator
lizard+time,dinosaur
lizard+tooth,snake
lizard+triple rainbow,chameleon
lizard+water,alligator
llama+barn,alpaca
llama+camel,alpaca
llama+dog,sheepdog
llama+farm,alpaca
llama+human,alpaca
llama+small,alpaca
lock+gold,key
lock+metal,key
lock+school,locker
lock+tool,key
machine+axe,chainsaw
machine+dog,robot dog
machine+feces,toilet
machine+gun,machine gun
machine+house,factory
machine+infrared,laser
machine+machine,computer
machine+rain,sprinkler
machine+steam,boiler
machine+urine,toilet
machine+water,bathtub
machine+wheel,gear
machine+wire,charger
madagascar+bat,flying lemur
madagascar+big,africa
madagascar+continent,africa
madagascar+flying squirrel,flying lemur
madagascar+madagascar,africa
madagascar+squirrel,lemur
magic 8 ball+human,fortune teller
magic+animal,unicorn
magic+baby,cupid
magic+bamboo,wand
magic+bat,vampire
magic+broomstick,witch
magic+bubble,forcefield
magic+cave,dwarf
magic+donkey,unicorn
magic+ear,elf
magic+earth,dwarf
magic+egg,dinosaur
magic+explosion,universe
magic+gold,leprechaun
magic+horse,unicorn
magic+magic lamp,genie
magic+metal,mithril
magic+miner,dwarf
magic+mirror,magic mirror
magic+mule,unicorn
magic+octopus,kraken
magic+pickaxe,dwarf
magic+small,fairy
magic+snowman,yeti
magic+space,universe
magic+squid,kraken
magic+stick,wand
magic+tool,wand
magic+tree,ent
magic+weapon,wand
magic+wool,flying carpet
magnesium+air,firework
magnesium+color,firework
magnesium+explosion,firework
magnesium+fire,firework
magnesium+proton,aluminum
magnesium+salt,epsom salt
magnesium+stick,sparkler
mailman+car,mail truck
mammoth+evolution,elephant
mammoth+hair,scissors
mammoth+human,fossil
mammoth+spear,fossil
mammoth+tusk,fossil
manatee+big,walrus
manatee+elephant,walrus
manatee+fish,swordfish
manatee+lion,sea lion
manatee+otter,sea lion
manatee+spear,narwhal
manatee+sword,narwhal
manatee+swordfish,narwhal
manatee+tooth,walrus
manatee+tusk,walrus
manatee+unicorn,narwhal
manga+house,library
manga+television,anime
manga+wood,bookshelf
mangrove+fire,ash
mansion+house,village
mansion+mansion,village
map+car,gps
map+clock,compass
map+human,pirate
map+machine,gps
map+metal,compass
maple syrup+candy,chicle
marijuana+paper,cigarette
marker+plastic,whiteboard
marker+wall,whiteboard
mars+human,astronaut
mars+life,alien
mars+star,solar system
mask+carbon monoxide,gas mask
mask+metal,gas mask
mask+poison,gas mask
match+box,matchbox
match+cardboard,matchbox
match+match,matchbox
mayonnaise+red,ketchup
mayonnaise+yellow,mustard
meat+ball,meatball
meat+bbq,steak
meat+bone,mutton
meat+book,cookbook
meat+chef,steak
meat+fire,steak
meat+heat,jerky
meat+house,slaughterhouse
meat+microwave,steak
meat+oven,steak
meat+paper,napkin
meat+pig,pork
meat+salt,jerky
meat+sheep,mutton
meat+star,jerky
meat+stick,chopstick
meat+toast,hamburger
meat+toaster,steak
meat+vegetable,kabob
meat+vulture,bone
meat+wave,microwave
meat+wolf,bone
meatball+bread,meatball sub
meatball+meatball,meatball sub
meatball+sandwich,meatball sub
medical mask+car,ambulance
medical mask+carbon monoxide,gas mask
medical mask+house,hospital
medical mask+human,doctor
medical mask+metal,gas mask
medical mask+poison,gas mask
medical mask+truck,ambulance
medicine+animal,rat
medicine+color,vitamins
medicine+house,hospital
medicine+human,doctor
medicine+light,ultraviolet
medicine+mask,medical mask
medicine+mouse,rat
medicine+opposite,sickness
medicine+paper,medical mask
medicine+plastic,medical mask
medicine+purple,ultraviolet
medicine+wool,medical mask
megalodon+evolution,shark
mercury+glass,thermometer
mercury+star,solar system
metal+air,plane
metal+atmosphere,rocket
metal+blade,saw
metal+blue,cobalt
metal+bone,calcium
metal+can,tin
metal+carbon,steel
metal+chain,machine
metal+charcoal,steel
metal+coal,steel
metal+cold,fridge
metal+earth,iron
metal+fire,gold
metal+flesh,armor
metal+ice,hockey puck
metal+infrared,laser
metal+laser,cd
metal+light,laser
metal+metal,machine
metal+meteor,iron
metal+moon,silver
metal+nuke,uranium
metal+oxygen,rust
metal+philosopher's stone,gold
metal+pressure,can
metal+radiation,uranium
metal+river,dam
metal+rope,chain
metal+skeleton,calcium
metal+small,nail
metal+smoke,steel
metal+sound,whistle
metal+steam,rust
metal+stone,tool
metal+tunnel,pipe
metal+video,television
metal+water,quicksilver
metal+waterfall,dam
metal+wave,microwave
metal+weapon,bullet
metal+white,calcium
metal+wind,sound
metal+witch,cauldron
metal+wood,hammer
meteor+atmosphere,fire
meteor+big,moon
meteor+earth,crater
meteor+energy,explosion
meteor+glass,telescope
meteor+glasses,telescope
meteor+ice,comet
meteor+insect,cockroach
meteor+ocean,tsunami
meteor+rain,shooting star
meteor+small,comet
meteor+space,meteoroid
meteor+star,shooting star
meteoroid+air,meteor
meteoroid+glass,telescope
meteoroid+glasses,telescope
meteoroid+rain,shooting star
meteoroid+star,shooting star
microphone+opposite,speaker
microscope+big,telescope
microscope+comet,telescope
microscope+galaxy,telescope
microscope+meteor,telescope
microscope+meteoroid,telescope
microscope+moon,telescope
microscope+planet,telescope
microscope+solar system,telescope
microscope+space,telescope
microscope+star,telescope
microscope+universe,telescope
microwave+big,oven
microwave+corn,popcorn
microwave+metal,oven
microwave+steel,oven
microwave+stone,furnace
middle school+door,locker
middle school+human,teacher
middle school+middle school,high school
middle school+stick,ruler
milk+alcohol,cocktail
milk+barley,cereal
milk+chocolate,cookie
milk+cold,ice cream
milk+cream,milkshake
milk+energy,butter
milk+fish,milkfish
milk+glass,cup
milk+human,milkman
milk+ice cream,milkshake
milk+pressure,butter
milk+rum,pina colada
milk+salt,butter
milk+sugar,frosting
milk+time,cheese
milk+tool,cream
milk+vodka,cocktail
milk+water,cream
milk+wheat,cereal
milk+wheel,butter
milkman+house,milk
milkshake+glass,cup
milkshake+plastic,cup
minecart+house,mineshaft
minecart+road,mineshaft
miner+car,minecart
miner+cave,gem
miner+tool,pickaxe
mineshaft+car,minecart
mint+sugar,candy
mint+wrapper,candy
missile+car,tank
missile+gun,rocket launcher
missile+human,corpse
mite+swamp,tick
mite+wood,termite
mold+idea,medicine
mold+scientist,medicine
mole+armor,armadillo
mole+elephant,aardvark
mole+mouse,aardvark
mole+rat,aardvark
mole+shell,armadillo
mole+snail,armadillo
molecule+molecule,element
money printer+electricity,money
money+bronze,coin
money+computer,cryptocurrency
money+glass,gem
money+gold,coin
money+human,banker
money+internet,cryptocurrency
money+keyboard,atm
money+machine,atm
money+metal,coin
money+plastic,credit card
money+printer,money printer
money+silver,coin
monkey+big,gorilla
monkey+bird,flying lemur
monkey+black,gorilla
monkey+energy,gorilla
monkey+evolution,human
monkey+fruit,banana
monkey+gorilla,baboon
monkey+gray,gorilla
monkey+knowledge,chimpanzee
monkey+magic,genie
monkey+monkey,gorilla
monkey+mouse,lemur
monkey+rat,lemur
monkey+small,lemur
monkey+squirrel,lemur
monkey+tree,palm tree
monkey+wizard,genie
moon+animal,wolf
moon+big,dwarf planet
moon+butterfly,moth
moon+cake,moon cake
moon+evil,werewolf
moon+glass,telescope
moon+glasses,telescope
moon+hawk,nighthawk
moon+human,astronaut
moon+insect,moth
moon+magic,werewolf
moon+meteor,crater
moon+small,meteor
moon+star,eclipse
moon+wolf,werewolf
moose+blade,antler
mosque+opposite,church
mosquito+gem,amber
mosquito+sap,amber
mosquito+sickness,malaria
moss+big,fern
moss+earth,plant
moss+lake,swamp
moss+plant,mushroom
moth+baby,caterpillar
moth+black,butterfly
moth+blue,butterfly
moth+bush,silkworm
moth+caterpillar,silkworm
moth+color,butterfly
moth+double rainbow,butterfly
moth+flower,butterfly
moth+green,butterfly
moth+leaf,silkworm
moth+moth,caterpillar
moth+orange,butterfly
moth+rainbow,butterfly
moth+tree,silkworm
moth+triple rainbow,butterfly
moth+worm,silkworm
moth+yellow,butterfly
motorcycle+big,car
motorcycle+machine,car
motorcycle+metal,car
motorcycle+motorcycle,car
motorcycle+steel,car
mountain goat+farm,goat
mountain goat+field,goat
mountain goat+forest,deer
mountain goat+grass,goat
mountain range+alpaca,llama
mountain range+big,continent
mountain range+fire,volcano
mountain range+glass,gem
mountain range+human,hiker
mountain range+ice,glacier
mountain range+lava,volcano
mountain range+mountain range,continent
mountain range+sheep,alpaca
mountain range+snow,glacier
mountain+alpaca,llama
mountain+bird,eagle
mountain+bomb,cave
mountain+cart,roller coaster
mountain+continent,mountain range
mountain+earthquake,avalanche
mountain+energy,avalanche
mountain+explosion,cave
mountain+fire,volcano
mountain+glass,gem
mountain+lava,volcano
mountain+miner,cave
mountain+mountain,mountain range
mountain+pickaxe,cave
mountain+pressure,avalanche
mountain+rain,snow
mountain+river,waterfall
mountain+sheep,alpaca
mountain+small,hill
mountain+tnt,cave
mountain+train,roller coaster
mountain+tunnel,cave
mountain+vulture,eagle
mountain+wall,cliff
mountain+water,river
mountain+wind,avalanche
mouse+air,bat
mouse+australia,jerboa
mouse+big,rat
mouse+bird,bat
mouse+blade,mousetrap
mouse+bush,hedgehog
mouse+city,rat
mouse+computer,computer mouse
mouse+crow,bat
mouse+earth,mole
mouse+elephant,aardvark
mouse+fire,ash
mouse+hole,mole
mouse+kangaroo,jerboa
mouse+leg,jerboa
mouse+lemur,aye-aye
mouse+mouse,rat
mouse+nail,porcupine
mouse+needle,porcupine
mouse+rabbit,aye-aye
mouse+river,dam
mouse+sand,hamster
mouse+shovel,mole
mouse+tool,mousetrap
mouse+tree,squirrel
mouse+water,beaver
mouse+weapon,mousetrap
mouse+wheel,hamster
mouse+wood,beaver
mouth+bamboo,flute
mouth+blade,tooth
mouth+bone,tooth
mouth+color,lipstick
mouth+paintbrush,toothbrush
mouth+plastic,toothbrush
mouth+pressure,saliva
mouth+sickness,vomit
mouth+soap,toothpaste
mouth+stick,flute
mouth+tool,toothbrush
mouth+wood,flute
movie+glasses,3d glasses
movie+house,movie theater
mp3 player+big,radio
mp3 player+ear,earbuds
mp3 player+head,earbuds
mrs. claus+opposite,santa
mud+bonfire,brick
mud+campfire,brick
mud+earthquake,mudslide
mud+energy,bacteria
mud+fire,brick
mud+flood,mudslide
mud+grass,swamp
mud+heat,brick
mud+heatwave,earth
mud+hill,mudslide
mud+leaf,watercress
mud+life,bacteria
mud+mountain,mudslide
mud+mud,mudslide
mud+nuke,earth
mud+plant,swamp
mud+plasma,brick
mud+pollen,flower
mud+rain,swamp
mud+sand,clay
mud+star,earth
mud+stone,sand
mud+time,brick
mud+water,clay
mudslide+fire,brick
mudslide+heat,brick
mudslide+heatwave,earth
mudslide+plasma,brick
mudslide+stone,sand
muffin+frosting,cupcake
mulch+pressure,paper
mule+donkey,mule
multiverse+multiverse,omniverse
mummy+animal,taxidermy animal
mummy+country,egypt
mummy+grave,pyramid
mummy+house,pyramid
mummy+stuffed animal,taxidermy animal
mummy+wool,taxidermy animal
mushroom+algae,lichen
mushroom+animal,pig
mushroom+baby,spore
mushroom+boat,barnacle
mushroom+earth,mycelium
mushroom+egg,spore
mushroom+gold,truffle
mushroom+money,truffle
mushroom+mud,mold
mushroom+opposite,plant
mushroom+pirate ship,barnacle
mushroom+sailboat,barnacle
mushroom+seed,spore
mushroom+ship,barnacle
mushroom+soil,mycelium
mushroom+steamboat,barnacle
mushroom+whale,barnacle
mushroom+wood,truffle
music+bag,bagpipes
music+bamboo,flute
music+cd,record
music+gold,trumpet
music+human,singer
music+lungs,bagpipes
music+machine,jukebox
music+metal,drum
music+mouth,flute
music+paper,sheet music
music+plastic,record
music+pressure,accordion
music+stick,microphone
music+string,guitar
music+tower,radio tower
music+wheel,record
music+wood,flute
mustard+opposite,ketchup
mustard+red,ketchup
mustard+white,mayonnaise
mycelium+fertilizer,mushroom
mycelium+seed,mushroom
mycelium+water,mushroom
nail polish+house,beauty salon
nail+big,screw
nail+blade,needle
nail+metal,spike
nail+nail,fork
nail+scissors,bolt cutters
nail+steel,spike
nail+tool,hammer
narwhal+big,walrus
narwhal+brown,walrus
narwhal+elephant,walrus
narwhal+fish,swordfish
narwhal+narwhal,walrus
narwhal+tooth,walrus
narwhal+tusk,walrus
needle+animal,sea urchin
needle+blood,syringe
needle+fish,needlefish
needle+glass,syringe
needle+hair,hairpin
needle+medicine,syringe
needle+metal,dart
needle+needle,fork
needle+plant,thorn
needle+starfish,sea urchin
needle+steel,dart
needle+wood,dart
neon+glass,sign
neon+plastic,sign
neon+proton,sodium
nerd+machine,computer
nest+bird,egg
nest+egg,bird
nest+house,chicken coop
net+lake,fish
net+ocean,fish
net+pond,fish
net+river,fish
net+sea,fish
net+water,fish
neutron+neutron,nucleus
neutron+proton,nucleus
neutron+small,up quark
new zealand+animal,kiwi
new zealand+big,australia
new zealand+chicken,kiwi
new zealand+new zealand,australia
newspaper+fire,ash
newspaper+newspaper,book
newspaper+paper,book
newt+mexico,axolotl
newt+pink,axolotl
nice+angel,cupid
nice+box,present
nice+evil,peace
nice+immortality,angel
nice+opposite,evil
nice+water,holy water
nickel+proton,copper
ninja+blade,shuriken
ninja+weapon,shuriken
nitrogen+gunpowder,tnt
nitrogen+hydrogen,ammonia
nitrogen+poison,ammonia
nitrogen+proton,oxygen
nitrogen+sulfur,tnt
noodle+fish,noodlefish
noodle+tomato sauce,spaghetti
north korea+bird,missile
north korea+opposite,south korea
nose+opposite,mouth
nose+pressure,snot
nose+tissue,snot
nucleus+bomb,nuke
nucleus+electron,atom
nucleus+neutron,nucleus
nucleus+proton,nucleus
nuke+earth,radiation
nuke+electricity,explosion
nuke+energy,explosion
nuke+explosion,radiation
nuke+fire,explosion
nuke+heat,radiation
nuke+house,bomb shelter
nuke+insect,cockroach
nuke+sickness,radiation
nuke+stone,uranium
nuke+time,radiation
nuke+wave,radiation
nut+plastic,packing peanut
nut+salt,peanut
nut+tool,nutcracker
nutcracker+magic,pinocchio
oasis+flood,ocean
ocean+animal,fish
ocean+bird,seagull
ocean+bone,coral
ocean+dog,seal
ocean+earthquake,tsunami
ocean+egg,fish
ocean+ferret,otter
ocean+fish,carp
ocean+flood,ocean
ocean+forest,coral reef
ocean+fossil,coral
ocean+hook,anchor
ocean+horse,seahorse
ocean+house,coral
ocean+human,scuba diver
ocean+ice,iceberg
ocean+jungle,coral reef
ocean+lion,sea lion
ocean+moss,seaweed
ocean+mountain,river
ocean+ocean,planet
ocean+pig,sea pig
ocean+plane,seaplane
ocean+pressure,wave
ocean+shovel,sand
ocean+spear,fish
ocean+star,salt
ocean+tower,lighthouse
ocean+toy,shell
ocean+tree,coral
ocean+wind,wave
ocelot+human,cat
octopus+electricity,jellyfish
octopus+immortality,kraken
octopus+lightning,jellyfish
octopus+shell,nautilus
octopus+water,jellyfish
oil lamp+magic,magic lamp
oil pump+fire,explosion
oil pump+ocean,oil spill
oil pump+sea,oil spill
oil spill+fish,death
oil+ash,soap
oil+cart,car
oil+clay,soap
oil+country,saudi arabia
oil+heat,plastic
oil+heater,oil lamp
oil+house,gas station
oil+lamp,oil lamp
oil+lightbulb,oil lamp
oil+machine,oil pump
oil+ocean,oil spill
oil+sea,oil spill
oil+sulfuric acid,plastic
oil+vegetable,french fry
oil+wax,soap
oil+wheel,car
olive+big,gooseberry
olive+purple,grape
omniverse+omniverse,dimension
onion+bamboo,asparagus
onion+blade,shallot
onion+cabbage,radish
onion+grass,asparagus
onion+knife,shallot
onion+pink,radish
onion+pressure,shallot
onion+purple,turnip
onion+red,radish
onion+small,shallot
opossum+mouse,bandicoot
opossum+rat,bandicoot
opossum+small,bandicoot
opposite+air,earth
opposite+big,small
opposite+cold,heat
opposite+earth,air
opposite+head,cold
opposite+opposite,antimatter
opposite+small,big
orange+bamboo,carrot
orange+big,pumpkin
orange+black,brown
orange+darkness,brown
orange+earth,tree
orange+fish,clownfish
orange+fruit,orange
orange+grass,carrot
orange+opposite,green
orange+planet,mars
orange+stick,carrot
orangutan+knowledge,chimpanzee
orca+big,blue whale
orca+orca,blue whale
orca+small,whale
organ+air,lungs
organ+bag,lungs
organ+blood,heart
organ+feces,liver
organ+light,eye
organ+money,liver
organ+nose,lung
organ+organ,animal
organ+oxygen,lungs
organ+photon,eye
organ+stick,finger
organ+tool,arm
organ+wind,lungs
ostrich+hair,cassowary
ostrich+ostrich,egg
ostrich+small,kiwi
oven+bottle,cauldron
oven+human,baker
oven+stone,furnace
oven+sugar,ginger
owl+alarm clock,cuckoo
owl+boat,plane
owl+car,plane
owl+clock,cuckoo
owl+flower,hummingbird
owl+garden,hummingbird
owl+machine,plane
owl+metal,plane
owl+mosquito,hummingbird
owl+owl,egg
owl+sailboat,plane
owl+ship,plane
owl+singer,hummingbird
owl+small,hummingbird
owl+sound,hummingbird
owl+steam engine,plane
owl+steamboat,plane
owl+steel,plane
owl+sundial,cuckoo
owl+time,cuckoo
owl+train,plane
owl+truck,plane
oxygen+glass,scuba tank
oxygen+heat,fire
oxygen+heatwave,fire
oxygen+plasma,fire
oxygen+proton,fluorine
oxygen+silicon,quartz
oxygen+wine,vinegar
oyster+blade,shell
oyster+death,shell
oyster+stone,pearl
paint+bird,peacock
paint+human,painter
paint+paper,painting
paint+stick,paintbrush
paint+tool,paintbrush
paint+white,plaster
paintbrush+human,painter
painter+idea,painting
painter+paper,painting
painter+tool,paintbrush
painter+wood,easel
painter+wool,painting
painting+house,museum
painting+human,portrait
palm tree+axe,wood
palm tree+bird,parrot
palm tree+blade,leaf
palm tree+fire,ash
palm tree+fruit,coconut
palm tree+house,treehouse
palm tree+hurricane,coconut
palm tree+life,monkey
palm tree+saw,wood
palm tree+scissors,leaf
palm tree+time,coconut
palm tree+tool,wood
palm tree+wind,coconut
panda+evil,bear
panda+forest,bear
panda+orange,red panda
panda+red,red panda
pangolin+virus,coronavirus
pants+opposite,shirt
paper+air,trash
paper+blade,confetti
paper+blood,bandage
paper+box,present
paper+cellphone,fax machine
paper+coin,money
paper+compass,map
paper+computer,printer
paper+cookie,fortune cookie
paper+death,mummy
paper+dough,fortune cookie
paper+dust,trash
paper+globe,map
paper+house,map
paper+leather,book
paper+machine,printer
paper+magic,scroll
